#Saved Data from the class pulsed_measurement_logic on 11.03.2025 at 19h38m44s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 5.6675136704444885e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 20, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0007727232000000001, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	1.053428209780758e+00	8.897789805772571e-01	2.332095446197651e-03	2.070292905421576e-03
2.640000000000000e-07	1.055351799710160e+00	8.922015168106694e-01	2.336005239430489e-03	2.074062304122914e-03
2.680000000000000e-07	1.055916811919176e+00	8.988946722627638e-01	2.333360383467056e-03	2.086906974530549e-03
2.720000000000000e-07	1.053406197624668e+00	8.897882548910818e-01	2.329095013293120e-03	2.067792828108096e-03
2.760000000000000e-07	1.054853357595663e+00	8.946186215901987e-01	2.330532242147232e-03	2.073727977315593e-03
2.800000000000000e-07	1.053592023637328e+00	8.949938934098135e-01	2.329516836609277e-03	2.076060966859782e-03
2.840000000000000e-07	1.056336000048731e+00	8.934149725770761e-01	2.332550198515275e-03	2.074710965885108e-03
2.880000000000000e-07	1.050230079844238e+00	8.864040316645465e-01	2.321914029541116e-03	2.057409060136714e-03
2.920000000000000e-07	1.046855208237530e+00	8.890505862163762e-01	2.313613344790751e-03	2.064070240359815e-03
2.960000000000000e-07	1.046916094451156e+00	8.857431063385044e-01	2.315938077379081e-03	2.056604306769093e-03
3.000000000000000e-07	1.056322076355898e+00	8.898411909838038e-01	2.334646957109711e-03	2.064894359981729e-03
3.040000000000000e-07	1.049814180462979e+00	8.886424194484247e-01	2.322001880479343e-03	2.062897034822241e-03
3.080000000000000e-07	1.058176291091549e+00	8.843328717198741e-01	2.335550834252248e-03	2.054970065159128e-03
3.120000000000000e-07	1.052031659199337e+00	8.901296773087961e-01	2.323757918760528e-03	2.063951446312941e-03
3.160000000000000e-07	1.051786211006474e+00	8.891140034448152e-01	2.323743932388803e-03	2.064446325136265e-03
3.200000000000000e-07	1.052911085726152e+00	8.914983977270675e-01	2.327133721964498e-03	2.070494666006040e-03
3.240000000000000e-07	1.051709725267874e+00	8.862721537307641e-01	2.324119452339797e-03	2.058315969183227e-03
3.280000000000000e-07	1.054544174845742e+00	8.905260716739529e-01	2.328926734489459e-03	2.064681634226842e-03
3.320000000000000e-07	1.051907117153789e+00	8.883805341500156e-01	2.325072846613878e-03	2.061094059401962e-03
3.360000000000000e-07	1.056324654354861e+00	8.934074964294538e-01	2.332726424257092e-03	2.072786887956102e-03
3.400000000000000e-07	1.055650605192808e+00	8.841101439955590e-01	2.331736657158863e-03	2.055630289558270e-03
3.440000000000000e-07	1.051803389877850e+00	8.851542266894006e-01	2.323419109453229e-03	2.058418506703282e-03
3.480000000000000e-07	1.060023788073250e+00	8.864591758294419e-01	2.342101779545186e-03	2.059665696316326e-03
3.520000000000000e-07	1.055456710559199e+00	8.852258669514168e-01	2.332428148681375e-03	2.058196208376423e-03
3.560000000000000e-07	1.057291512991505e+00	8.852129634914927e-01	2.335572333620880e-03	2.060232119026407e-03
3.600000000000000e-07	1.053964924705294e+00	8.828245373706177e-01	2.326649335941319e-03	2.055552582612657e-03
3.640000000000000e-07	1.057844044574518e+00	8.831235576705043e-01	2.336480957437697e-03	2.055475083920099e-03
3.680000000000000e-07	1.060037423287677e+00	8.865400921886053e-01	2.342556689614479e-03	2.064848640772549e-03
3.720000000000000e-07	1.059451318509624e+00	8.836495629257900e-01	2.339452921405018e-03	2.056260245698090e-03
3.760000000000000e-07	1.058617489720964e+00	8.843302671992466e-01	2.339232568566100e-03	2.060287282779884e-03
3.800000000000000e-07	1.065607625740491e+00	8.812850431035306e-01	2.350670640672179e-03	2.055332243878726e-03
3.840000000000000e-07	1.061449212498739e+00	8.829079003904334e-01	2.341847257953887e-03	2.057496447757609e-03
3.880000000000000e-07	1.061121388371018e+00	8.819209689306424e-01	2.342913341427625e-03	2.055189951824314e-03
3.920000000000000e-07	1.066030130680488e+00	8.823408145976491e-01	2.353795191313307e-03	2.056450676322698e-03
3.960000000000000e-07	1.062264719826515e+00	8.878805305345897e-01	2.345123568995265e-03	2.068470364512257e-03
4.000000000000000e-07	1.061740496747372e+00	8.804205941729248e-01	2.343175392783718e-03	2.053765638343113e-03
4.040000000000000e-07	1.062391064634429e+00	8.854316350677205e-01	2.344130140869442e-03	2.062071569087389e-03
4.080000000000000e-07	1.064191549092800e+00	8.805416781913039e-01	2.351336575555867e-03	2.053627743019107e-03
4.120000000000000e-07	1.065802058829296e+00	8.820635671387226e-01	2.352549844625890e-03	2.054839785252469e-03
4.160000000000000e-07	1.066199163795416e+00	8.845889498331693e-01	2.351867377059827e-03	2.060812534925739e-03
4.200000000000000e-07	1.064063212314566e+00	8.819045319573031e-01	2.346586275031263e-03	2.055505999945756e-03
4.240000000000000e-07	1.070676815045990e+00	8.814391097249495e-01	2.360039958639823e-03	2.055429715193157e-03
4.280000000000000e-07	1.072382916011255e+00	8.743715060265446e-01	2.360467578372916e-03	2.040578568452594e-03
4.320000000000000e-07	1.068935761671003e+00	8.803264914908264e-01	2.354025203218297e-03	2.054177338445461e-03
4.360000000000000e-07	1.066390895900353e+00	8.806737405777476e-01	2.349671239544536e-03	2.055230501878046e-03
4.400000000000000e-07	1.068357576644283e+00	8.817746098432274e-01	2.352082003991050e-03	2.060149630430237e-03
4.440000000000000e-07	1.071177952582221e+00	8.784195063006867e-01	2.359011689684965e-03	2.049456491065662e-03
4.480000000000000e-07	1.064225846044647e+00	8.777207381289341e-01	2.344442515524979e-03	2.048952238267279e-03
4.520000000000000e-07	1.069477776464062e+00	8.797615561579930e-01	2.351564628814971e-03	2.050841310976184e-03
4.560000000000000e-07	1.076590189335660e+00	8.744742438583285e-01	2.367589742887134e-03	2.041458234912055e-03
