#Saved Data from the class pulsed_measurement_logic on 12.03.2025 at 23h41m37s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.8736974977731705e+04
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 50, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0013455232, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	9.558785193880379e-01	8.605246517422643e-01	1.604149472436786e-03	1.491372692940524e-03
2.640000000000000e-07	9.745435706932701e-01	8.766920958698258e-01	1.632792095489995e-03	1.517677815437985e-03
2.680000000000000e-07	9.794132387152262e-01	8.884831325940390e-01	1.645864958077872e-03	1.544060827458434e-03
2.720000000000000e-07	9.947831143568741e-01	8.988734232810577e-01	1.675371404495410e-03	1.562989734208143e-03
2.760000000000000e-07	9.995471075222664e-01	9.103126557229176e-01	1.686353289797452e-03	1.580990463904771e-03
2.800000000000000e-07	1.008201354935629e+00	9.081983460866389e-01	1.702081815940860e-03	1.582820000443395e-03
2.840000000000000e-07	1.003907260709245e+00	9.191800714916569e-01	1.700233860839582e-03	1.598092685729214e-03
2.880000000000000e-07	1.010402687874162e+00	9.176712149218592e-01	1.709863501133279e-03	1.598405961341229e-03
2.920000000000000e-07	1.001237155992754e+00	9.269456578897681e-01	1.698983862299572e-03	1.607344718850718e-03
2.960000000000000e-07	1.007095191398121e+00	9.296542383709554e-01	1.705428493039093e-03	1.613914151934469e-03
3.000000000000000e-07	1.002788350977104e+00	9.291994251154722e-01	1.700370246599569e-03	1.612288388001315e-03
3.040000000000000e-07	1.005516287186683e+00	9.326813630932675e-01	1.704649904676090e-03	1.615753101813379e-03
3.080000000000000e-07	9.980952320382607e-01	9.292103639728563e-01	1.693992726161630e-03	1.613305064783115e-03
3.120000000000000e-07	1.003604401475031e+00	9.226358742032613e-01	1.702065687305695e-03	1.603388787404126e-03
3.160000000000000e-07	1.005822995649263e+00	9.184951141459359e-01	1.705404181173893e-03	1.597216714733583e-03
3.200000000000000e-07	1.011678428822764e+00	9.188346444081756e-01	1.711173599364388e-03	1.599516250067220e-03
3.240000000000000e-07	1.014825208900919e+00	9.075617512630321e-01	1.715207486675713e-03	1.584157789414570e-03
3.280000000000000e-07	1.016775535406704e+00	9.100100481067784e-01	1.715175510884274e-03	1.585757418752446e-03
3.320000000000000e-07	1.004647063150650e+00	9.113898360777201e-01	1.701094555372035e-03	1.586106722905530e-03
3.360000000000000e-07	1.000841402857268e+00	9.203821235231339e-01	1.694259413766161e-03	1.594701581671690e-03
3.400000000000000e-07	9.906472408693341e-01	9.248766387927798e-01	1.681311144166070e-03	1.599468451598421e-03
3.440000000000000e-07	9.685493705043599e-01	9.445658280133650e-01	1.651844403556764e-03	1.623546038325448e-03
3.480000000000000e-07	9.468950767776089e-01	9.591189669417410e-01	1.624314990405551e-03	1.637759839277818e-03
3.520000000000000e-07	9.202707039400786e-01	9.744589182064828e-01	1.590602878184896e-03	1.652775477505885e-03
3.560000000000000e-07	9.015104027101283e-01	9.920920819753637e-01	1.565897246294658e-03	1.673761972714485e-03
3.600000000000000e-07	8.848498998098668e-01	1.004331889155255e+00	1.543405327121518e-03	1.685872501632018e-03
3.640000000000000e-07	8.787090256753802e-01	1.004480569438508e+00	1.532505424446011e-03	1.683685293101644e-03
3.680000000000000e-07	8.819265842233076e-01	9.927391054726612e-01	1.533368850138316e-03	1.665931105734309e-03
3.720000000000000e-07	8.776074705035344e-01	9.882073296504639e-01	1.526636587669518e-03	1.657262901470045e-03
3.760000000000000e-07	9.100530958287926e-01	9.649230331048284e-01	1.564167123285814e-03	1.627255868396753e-03
3.800000000000000e-07	9.284054718700175e-01	9.372671065982807e-01	1.582414417429562e-03	1.594015412876660e-03
3.840000000000000e-07	9.488987927593950e-01	9.075997457057096e-01	1.605211302813182e-03	1.555722155978077e-03
3.880000000000000e-07	9.701681343402323e-01	8.802040310221124e-01	1.628215800677305e-03	1.519601445265422e-03
