#Saved Data from the class pulsed_measurement_logic on 14.03.2025 at 12h48m17s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.1024153979063034e+04
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 30, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0018467328, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	8.731928808476104e-01	1.012628443011555e+00	2.273115018037525e-03	2.491219458151892e-03
2.640000000000000e-07	8.549276944805917e-01	9.915865848326391e-01	2.211579169309541e-03	2.449222966592156e-03
2.680000000000000e-07	8.490803980634853e-01	9.832501891322000e-01	2.187175768490683e-03	2.424447589022340e-03
2.720000000000000e-07	8.498179883128085e-01	9.796091693562283e-01	2.190379162452174e-03	2.420372971739686e-03
2.760000000000000e-07	8.516792229755350e-01	9.698308914240715e-01	2.192532432845766e-03	2.404505685097532e-03
2.800000000000000e-07	8.695179287180623e-01	9.735395557319787e-01	2.231064273988156e-03	2.413581429449879e-03
2.840000000000000e-07	8.659627427515787e-01	9.756015948801651e-01	2.224310445388606e-03	2.423530122311740e-03
2.880000000000000e-07	8.705287894078086e-01	9.659888165935779e-01	2.233611090720200e-03	2.403693611400550e-03
2.920000000000000e-07	8.713324238639156e-01	9.668941735424401e-01	2.235731590254243e-03	2.408868399776022e-03
2.960000000000000e-07	8.825803965979537e-01	9.647016536419837e-01	2.260098239814487e-03	2.402335322599522e-03
3.000000000000000e-07	8.834424706851607e-01	9.456013007857975e-01	2.259883404873345e-03	2.366399505941443e-03
3.040000000000000e-07	8.928013743159209e-01	9.538524230301092e-01	2.277030667227787e-03	2.388512384380221e-03
3.080000000000000e-07	8.942458522834682e-01	9.499751649091684e-01	2.280191522916872e-03	2.380694182033891e-03
3.120000000000000e-07	8.913426162247324e-01	9.452725649715291e-01	2.273429216707078e-03	2.368756729817166e-03
3.160000000000000e-07	8.816242997449855e-01	9.411755451250762e-01	2.254622697381552e-03	2.357180272251920e-03
3.200000000000000e-07	8.954705727054434e-01	9.358564926966496e-01	2.274837464445907e-03	2.347988313369989e-03
3.240000000000000e-07	9.006987150679403e-01	9.308435153627648e-01	2.285707716533741e-03	2.339125696463794e-03
3.280000000000000e-07	9.032179871903326e-01	9.297758858363733e-01	2.287771018858931e-03	2.334982793604343e-03
3.320000000000000e-07	9.051438138048488e-01	9.193529121127320e-01	2.289593591106160e-03	2.311080792902755e-03
3.360000000000000e-07	9.093175212121772e-01	9.119402816252176e-01	2.293633984780875e-03	2.299649155206443e-03
