#Saved Data from the class pulsed_measurement_logic on 13.03.2025 at 16h48m31s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 9.1098030688762665e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 30, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0016319232, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	9.824521876663529e-01	9.104364055764580e-01	2.534575718681695e-03	2.397142160025906e-03
2.640000000000000e-07	9.903638246974678e-01	9.195987781186298e-01	2.539772905464860e-03	2.407185471727897e-03
2.680000000000000e-07	9.713466463076426e-01	9.113610376462264e-01	2.489125085218271e-03	2.372202018226480e-03
2.720000000000000e-07	9.577592679243836e-01	9.041147977673459e-01	2.455367379372889e-03	2.350191935247589e-03
2.760000000000000e-07	9.454639636775846e-01	8.992440508064410e-01	2.421212733635743e-03	2.337160240586277e-03
2.800000000000000e-07	9.408007232997939e-01	9.023843406959060e-01	2.409933610778469e-03	2.336310592065446e-03
2.840000000000000e-07	9.319342641558584e-01	9.014376409020489e-01	2.390346100674331e-03	2.334112114090836e-03
2.880000000000000e-07	9.329250525185145e-01	9.108077562435587e-01	2.391220395356245e-03	2.349653257369718e-03
2.920000000000000e-07	9.152739904879172e-01	8.975804919144239e-01	2.354003794173983e-03	2.323323274574391e-03
2.960000000000000e-07	9.276323581395999e-01	9.092711515747441e-01	2.377980337892583e-03	2.342938272162497e-03
3.000000000000000e-07	9.240042194667305e-01	9.118097642842498e-01	2.368045552129264e-03	2.351739831710786e-03
3.040000000000000e-07	9.243872772028147e-01	9.108006457042085e-01	2.372593820443831e-03	2.347067373437009e-03
3.080000000000000e-07	9.255584833460577e-01	9.131669743432542e-01	2.376356496361338e-03	2.352509148905076e-03
3.120000000000000e-07	9.232366276393202e-01	9.137968845324452e-01	2.372138946647524e-03	2.356383962662750e-03
3.160000000000000e-07	9.172719031898653e-01	9.181530316370651e-01	2.363502736697347e-03	2.361505138020792e-03
3.200000000000000e-07	9.214009429588800e-01	9.145045922515401e-01	2.370498477878968e-03	2.359593457966673e-03
3.240000000000000e-07	9.260329652146958e-01	9.161400596704162e-01	2.379079633167401e-03	2.364292082796828e-03
3.280000000000000e-07	9.275168316980635e-01	9.164464442331738e-01	2.383924725052643e-03	2.363046271217173e-03
3.320000000000000e-07	9.326307996338850e-01	9.141758320728431e-01	2.393943299970019e-03	2.362329355255559e-03
3.360000000000000e-07	9.332774745180688e-01	9.122364602460844e-01	2.398045366784773e-03	2.356822906652834e-03
3.400000000000000e-07	9.440770359575582e-01	9.129574549019871e-01	2.421092104401775e-03	2.367062973188982e-03
3.440000000000000e-07	9.335381166803316e-01	9.160572347403696e-01	2.399996471990602e-03	2.373481875074405e-03
3.480000000000000e-07	9.415565389276206e-01	9.206235608166002e-01	2.420310704280135e-03	2.384000291446745e-03
3.520000000000000e-07	9.324177877304523e-01	9.306410458038696e-01	2.404877019116970e-03	2.408825650583196e-03
3.560000000000000e-07	9.317755166541778e-01	9.488929937530879e-01	2.404567671247532e-03	2.443204324207240e-03
3.600000000000000e-07	9.248412687782825e-01	9.650973997917138e-01	2.397423067414020e-03	2.474584663278649e-03
3.640000000000000e-07	9.140053816598135e-01	9.674788745593702e-01	2.378265124039206e-03	2.480575467867767e-03
3.680000000000000e-07	9.219789096596618e-01	9.719355764186363e-01	2.399917952177415e-03	2.496831097617177e-03
3.720000000000000e-07	9.402679767531832e-01	9.571481867170208e-01	2.440758990309505e-03	2.470614057339328e-03
3.760000000000000e-07	9.618509812404900e-01	9.410936574740398e-01	2.482106030353895e-03	2.444396134816209e-03
3.800000000000000e-07	9.822794751689430e-01	9.279135671238854e-01	2.519857884112998e-03	2.423236455273277e-03
3.840000000000000e-07	1.004152937293330e+00	9.222647491972989e-01	2.564279409908346e-03	2.416913283849415e-03
3.880000000000000e-07	1.009186059370198e+00	9.108145994580713e-01	2.576184310489150e-03	2.397557450769944e-03
3.920000000000000e-07	1.000446896346696e+00	9.149631017328468e-01	2.560754543485814e-03	2.402831356906670e-03
3.960000000000000e-07	9.886677007304030e-01	9.301944459537279e-01	2.540542416085427e-03	2.431900231674178e-03
4.000000000000000e-07	1.000281655144881e+00	9.303011841655883e-01	2.563167496111260e-03	2.437452933768316e-03
4.040000000000000e-07	9.997714912914594e-01	9.347971925693656e-01	2.564632112960669e-03	2.447781516984574e-03
4.080000000000000e-07	1.006605787462330e+00	9.328825403571955e-01	2.575371259867858e-03	2.445159616110674e-03
4.120000000000000e-07	1.024886758873853e+00	9.031346249416579e-01	2.613345529659543e-03	2.389400370772452e-03
4.160000000000000e-07	1.028139752523733e+00	8.928722312615360e-01	2.616390018988356e-03	2.367994297199331e-03
4.200000000000000e-07	1.033203216908277e+00	8.872195009941447e-01	2.630043522006588e-03	2.356625591432654e-03
4.240000000000000e-07	1.031816036275300e+00	8.869513959699907e-01	2.625847706631550e-03	2.359010777581863e-03
4.280000000000000e-07	1.012584380312417e+00	8.916217149506775e-01	2.586685955082636e-03	2.365178798984408e-03
4.320000000000000e-07	1.034488824129461e+00	8.874295957749228e-01	2.623747968463371e-03	2.354760012992359e-03
4.360000000000000e-07	1.024832013718578e+00	8.826549667610433e-01	2.599065518058210e-03	2.342647568691263e-03
4.400000000000000e-07	1.026837523103113e+00	8.810898635203697e-01	2.602634996389971e-03	2.340076902391536e-03
4.440000000000000e-07	1.027214606722272e+00	8.669793847614178e-01	2.604048852331402e-03	2.311721661543737e-03
4.480000000000000e-07	1.033250782445011e+00	8.616430695473265e-01	2.613636095939717e-03	2.298411849724576e-03
4.520000000000000e-07	1.025948903224621e+00	8.625543369008940e-01	2.595685547265446e-03	2.296138108816095e-03
4.560000000000000e-07	1.020354614217527e+00	8.597377781527434e-01	2.580534113106853e-03	2.287502772891505e-03
