#Saved Data from the class pulsed_measurement_logic on 12.03.2025 at 17h56m02s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.4776719357967377e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 20, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0012739328, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	8.980041218564064e-01	1.025175487161152e+00	2.479867308018336e-03	2.730420028377853e-03
2.640000000000000e-07	8.995649695068743e-01	1.017490511313793e+00	2.481460444693505e-03	2.708569348863534e-03
2.680000000000000e-07	8.961698669059913e-01	1.007210581716947e+00	2.475597764646784e-03	2.675643976139416e-03
2.720000000000000e-07	8.721746510756281e-01	9.958975839162548e-01	2.409632465146769e-03	2.642590857897603e-03
2.760000000000000e-07	8.854877811506738e-01	9.951609411028600e-01	2.435674757864035e-03	2.633967328529351e-03
2.800000000000000e-07	8.693103518009065e-01	9.814969090259342e-01	2.388253463800105e-03	2.603871559924210e-03
2.840000000000000e-07	8.669723731925220e-01	9.824772150421797e-01	2.388195418491946e-03	2.595549073483151e-03
2.880000000000000e-07	8.658504858765012e-01	9.857395862824643e-01	2.376858327905789e-03	2.600766931420773e-03
2.920000000000000e-07	8.655753728223580e-01	9.849770102806150e-01	2.375947064840670e-03	2.596631104516460e-03
2.960000000000000e-07	8.667474934764624e-01	9.915362993571057e-01	2.377103953995823e-03	2.611298792944690e-03
3.000000000000000e-07	8.684927361358746e-01	9.875333856013613e-01	2.382221966708533e-03	2.602694033795380e-03
3.040000000000000e-07	8.588207076476376e-01	9.853827414022315e-01	2.358927931349400e-03	2.599064084260623e-03
3.080000000000000e-07	8.589311386149990e-01	9.871524772775819e-01	2.360257463226737e-03	2.603415871952755e-03
3.120000000000000e-07	8.618434310197486e-01	9.871322790531716e-01	2.371637033677188e-03	2.601348624160192e-03
3.160000000000000e-07	8.513738167127797e-01	9.901907920604979e-01	2.348161020423014e-03	2.610505503417686e-03
3.200000000000000e-07	8.524541868136853e-01	9.958069704894399e-01	2.350057423041775e-03	2.621898097952593e-03
3.240000000000000e-07	8.586688265029823e-01	1.002749657915472e+00	2.366246482934951e-03	2.636966671520175e-03
