#Saved Data from the class pulsed_measurement_logic on 12.03.2025 at 10h59m11s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 4.3083590846061707e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 20, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0009875328, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	8.544022823286753e-01	1.031329795169946e+00	2.550215668541945e-03	2.924722769376912e-03
2.640000000000000e-07	8.695469414730624e-01	1.047303035817098e+00	2.608249777630098e-03	2.970851212659892e-03
2.680000000000000e-07	8.728749542301316e-01	1.052524935401410e+00	2.625788810376613e-03	3.001832402979276e-03
2.720000000000000e-07	8.789796592251518e-01	1.060462817409541e+00	2.644387574974780e-03	3.022382176606702e-03
2.760000000000000e-07	8.880452181219133e-01	1.066672403552660e+00	2.671835172575147e-03	3.039366243064369e-03
2.800000000000000e-07	8.852143511687364e-01	1.068213657854634e+00	2.667129220130047e-03	3.046560081183739e-03
2.840000000000000e-07	8.831420590777445e-01	1.065779352403202e+00	2.661605725138900e-03	3.043684088604456e-03
2.880000000000000e-07	8.860941361330872e-01	1.066138235374333e+00	2.667975770256278e-03	3.043373560774923e-03
2.920000000000000e-07	8.923049359532551e-01	1.071981895955365e+00	2.680622219550268e-03	3.058990641501525e-03
2.960000000000000e-07	8.870595299449531e-01	1.074658935208443e+00	2.671552843861544e-03	3.061959670251914e-03
3.000000000000000e-07	8.880651950003723e-01	1.070202585409349e+00	2.674854435628468e-03	3.050839804419139e-03
3.040000000000000e-07	8.959499454882878e-01	1.059359264887108e+00	2.694773969451137e-03	3.026587768766612e-03
3.080000000000000e-07	8.977643864030931e-01	1.058285674973857e+00	2.696320104264615e-03	3.024748219340108e-03
3.120000000000000e-07	9.034399742566718e-01	1.062417955715445e+00	2.714028265934810e-03	3.033699609503352e-03
3.160000000000000e-07	9.008455202714591e-01	1.062941873316591e+00	2.699541690434991e-03	3.042109752560265e-03
3.200000000000000e-07	9.053948871556882e-01	1.057910336261891e+00	2.711031548617652e-03	3.026060470389223e-03
3.240000000000000e-07	9.116801168160320e-01	1.053124014269019e+00	2.727594372904069e-03	3.018297933050665e-03
3.280000000000000e-07	9.163232950065535e-01	1.045425676314260e+00	2.734783085220891e-03	2.995608257666530e-03
3.320000000000000e-07	9.158454287141379e-01	1.044069928441069e+00	2.733220105688276e-03	2.997890157809038e-03
3.360000000000000e-07	9.223829118838741e-01	1.037548067140382e+00	2.745452325007867e-03	2.982508140898458e-03
3.400000000000000e-07	9.265637097119850e-01	1.030591619340342e+00	2.751893770196170e-03	2.968164424153525e-03
3.440000000000000e-07	9.344067468432840e-01	1.032302860324356e+00	2.769837915590416e-03	2.979809594018485e-03
3.480000000000000e-07	9.418305928348910e-01	1.024306519009089e+00	2.788806985673968e-03	2.956391736718769e-03
3.520000000000000e-07	9.435213549415431e-01	1.018328236714195e+00	2.789179805810144e-03	2.942234604878123e-03
3.560000000000000e-07	9.465413679837569e-01	1.006271212276387e+00	2.794559426147723e-03	2.912473218413393e-03
