#Saved Data from the class pulsed_measurement_logic on 12.03.2025 at 13h09m04s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 7.7705597255229950e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 20, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0010591232, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	1.024349445808576e+00	8.919647118201298e-01	2.249354488890539e-03	2.053356299121918e-03
2.640000000000000e-07	1.043102124262979e+00	9.015986430528726e-01	2.295518015450218e-03	2.077035108220664e-03
2.680000000000000e-07	1.045560476528448e+00	8.952253903868078e-01	2.305328294460044e-03	2.065948098779430e-03
2.720000000000000e-07	1.044674734247643e+00	8.943595766998296e-01	2.301858587716234e-03	2.061320863017279e-03
2.760000000000000e-07	1.042852396709324e+00	8.953854577652993e-01	2.300876892254357e-03	2.062131508536353e-03
2.800000000000000e-07	1.037458900939771e+00	8.902566467898997e-01	2.284655751839211e-03	2.051620587311428e-03
2.840000000000000e-07	1.031442767358387e+00	8.899063886872024e-01	2.275117063011492e-03	2.048807070029256e-03
2.880000000000000e-07	1.035741087440139e+00	8.839309850322509e-01	2.279242846983082e-03	2.038458451458651e-03
2.920000000000000e-07	1.030440231816834e+00	8.862911990471090e-01	2.269061524611837e-03	2.039206614833375e-03
2.960000000000000e-07	1.033124087281231e+00	8.808762906867127e-01	2.270534702230455e-03	2.028177202632445e-03
3.000000000000000e-07	1.031868729902595e+00	8.824733168426340e-01	2.269211962458364e-03	2.033212255288551e-03
3.040000000000000e-07	1.031377576586535e+00	8.918113203868870e-01	2.267882793586209e-03	2.049389927533216e-03
3.080000000000000e-07	1.029309333884975e+00	8.848102265289608e-01	2.265722856342649e-03	2.037164408599570e-03
3.120000000000000e-07	1.025027296558834e+00	8.922695111824935e-01	2.259209106314262e-03	2.049015753645223e-03
3.160000000000000e-07	1.017730120952890e+00	8.947929937619247e-01	2.244119112047315e-03	2.053523001309235e-03
3.200000000000000e-07	1.015290993051496e+00	8.994939847982591e-01	2.245728196914752e-03	2.063484299391075e-03
3.240000000000000e-07	1.012161216447272e+00	9.064221150733677e-01	2.239239860426115e-03	2.074129639864119e-03
3.280000000000000e-07	1.008236816206306e+00	9.132066992741305e-01	2.236399629658728e-03	2.086682768002573e-03
3.320000000000000e-07	1.005740226939340e+00	9.205297112554475e-01	2.233589040059861e-03	2.100268111498471e-03
