#Saved Data from the class pulsed_measurement_logic on 11.03.2025 at 23h52m52s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.5221377246856689e+04
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 50, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0008443264, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	8.442975772993573e-01	1.042381265027219e+00	1.246158339066657e-03	1.449658207501252e-03
2.640000000000000e-07	8.525797603123972e-01	1.050204527085170e+00	1.262237416566160e-03	1.461659605606658e-03
2.680000000000000e-07	8.562567909163104e-01	1.056704510123191e+00	1.269594440906985e-03	1.473425825124360e-03
2.720000000000000e-07	8.615899762268578e-01	1.056833842944416e+00	1.278348324428333e-03	1.476519790051907e-03
2.760000000000000e-07	8.641382789368096e-01	1.060874996762508e+00	1.283736088039957e-03	1.483071386492253e-03
2.800000000000000e-07	8.661985429208670e-01	1.063271185941197e+00	1.287774969746641e-03	1.486938232205943e-03
2.840000000000000e-07	8.689237102214370e-01	1.065980165883243e+00	1.290748996549729e-03	1.490267548277472e-03
2.880000000000000e-07	8.701663307680110e-01	1.068012783071209e+00	1.294424391573207e-03	1.495323482830602e-03
2.920000000000000e-07	8.708750380412643e-01	1.068061215942759e+00	1.294337587926769e-03	1.495795510924028e-03
2.960000000000000e-07	8.720726309750186e-01	1.066088677696895e+00	1.296878297649261e-03	1.493745248504112e-03
3.000000000000000e-07	8.744877814978663e-01	1.068189910757325e+00	1.299592816060837e-03	1.497539513154289e-03
3.040000000000000e-07	8.737513478711014e-01	1.063437136545470e+00	1.299045872187503e-03	1.491161718375274e-03
3.080000000000000e-07	8.772383887522145e-01	1.066536165717581e+00	1.302750259328612e-03	1.494984975641834e-03
3.120000000000000e-07	8.795487313568274e-01	1.065696503083273e+00	1.305373287551515e-03	1.493985787966031e-03
3.160000000000000e-07	8.760922564222609e-01	1.061520365314401e+00	1.300539755659725e-03	1.488738304261657e-03
3.200000000000000e-07	8.791199357444759e-01	1.063329530578770e+00	1.303843762896313e-03	1.492147189966146e-03
3.240000000000000e-07	8.783419955768611e-01	1.060808817098452e+00	1.302066724818810e-03	1.487714986136344e-03
3.280000000000000e-07	8.811332913827672e-01	1.060501887119840e+00	1.305608091723881e-03	1.488410589092421e-03
