#Saved Data from the class pulsed_measurement_logic on 12.03.2025 at 16h07m39s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 4.6955904097557068e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 20, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0012023296, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	1.009289034819917e+00	8.898466772621654e-01	3.004991110381887e-03	2.748847203227974e-03
2.640000000000000e-07	1.013427510124645e+00	9.043408402051646e-01	3.011227301965146e-03	2.790907684381820e-03
2.680000000000000e-07	1.019996319729539e+00	9.109647064613134e-01	3.041530086328716e-03	2.809347755496018e-03
2.720000000000000e-07	1.030708913845135e+00	9.294883763158923e-01	3.075271089394246e-03	2.871517308491992e-03
2.760000000000000e-07	1.042125140702009e+00	9.287321720671814e-01	3.113435190275210e-03	2.870649939107872e-03
2.800000000000000e-07	1.051547049953832e+00	9.336798512306930e-01	3.139627388247066e-03	2.897476985061039e-03
2.840000000000000e-07	1.057910084454292e+00	9.380801354305920e-01	3.162862522049677e-03	2.900858235904896e-03
2.880000000000000e-07	1.053293038000124e+00	9.375917349656602e-01	3.156324423441850e-03	2.909204073817910e-03
2.920000000000000e-07	1.056843723126100e+00	9.520871650675785e-01	3.170424244315170e-03	2.938613344535113e-03
2.960000000000000e-07	1.056136893458478e+00	9.445598290050523e-01	3.165146319361122e-03	2.923010259657780e-03
3.000000000000000e-07	1.060314633611364e+00	9.378934402452561e-01	3.174904366281069e-03	2.916132569142386e-03
3.040000000000000e-07	1.055509718763224e+00	9.399146096174353e-01	3.160612807187213e-03	2.917222415754553e-03
3.080000000000000e-07	1.068677279198313e+00	9.418704190983438e-01	3.198575601676504e-03	2.922892423799828e-03
3.120000000000000e-07	1.066932468847802e+00	9.292594195750484e-01	3.191887981844525e-03	2.890572830670545e-03
