#Saved Data from the class pulsed_measurement_logic on 13.03.2025 at 09h31m50s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 3.5381528841972351e+04
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 50, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0014171264, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	8.826231899167016e-01	1.021923756363587e+00	1.165885899713912e-03	1.283375336880845e-03
2.640000000000000e-07	8.702086614759542e-01	1.005191342881848e+00	1.139286308793843e-03	1.258830014393045e-03
2.680000000000000e-07	8.611789538175149e-01	9.906165803541148e-01	1.127195461685167e-03	1.235745998583441e-03
2.720000000000000e-07	8.552719993190404e-01	9.793162560829736e-01	1.114382303448647e-03	1.224789832313687e-03
2.760000000000000e-07	8.493437031596262e-01	9.745576304814616e-01	1.107203427711552e-03	1.216976802307776e-03
2.800000000000000e-07	8.457616946617985e-01	9.752947275175068e-01	1.102277545334806e-03	1.217948867428393e-03
2.840000000000000e-07	8.532524770467679e-01	9.731996365387237e-01	1.109134902179138e-03	1.216157338895478e-03
2.880000000000000e-07	8.571323575265226e-01	9.726251033506141e-01	1.113916107706243e-03	1.217660735139032e-03
2.920000000000000e-07	8.512973154352304e-01	9.704732873089688e-01	1.108550559633252e-03	1.215267765652733e-03
2.960000000000000e-07	8.571070286144431e-01	9.743688072126031e-01	1.113698422463804e-03	1.218656141427862e-03
3.000000000000000e-07	8.638497504999852e-01	9.638722655032129e-01	1.119726497584244e-03	1.208130496854476e-03
3.040000000000000e-07	8.685643053395971e-01	9.636147205967811e-01	1.123776576425428e-03	1.208130874960555e-03
3.080000000000000e-07	8.701987965780693e-01	9.631765542982175e-01	1.125375267717538e-03	1.208370728904398e-03
3.120000000000000e-07	8.724045943202769e-01	9.611403616209601e-01	1.127730677305609e-03	1.206280689507312e-03
3.160000000000000e-07	8.729738288828472e-01	9.591625963092680e-01	1.127329966947769e-03	1.204123473574623e-03
3.200000000000000e-07	8.670026311084092e-01	9.629924581005327e-01	1.121937485225173e-03	1.208164317131939e-03
3.240000000000000e-07	8.660506694747789e-01	9.636489431305401e-01	1.120577605602410e-03	1.208616608698798e-03
3.280000000000000e-07	8.656393232936043e-01	9.670794982241013e-01	1.120201301644732e-03	1.211912480935470e-03
3.320000000000000e-07	8.677739417700169e-01	9.645246437777236e-01	1.121858690862717e-03	1.209424270676048e-03
3.360000000000000e-07	8.749617742568775e-01	9.678683973773795e-01	1.130432515602177e-03	1.212023293821779e-03
3.400000000000000e-07	8.768048907119682e-01	9.545453138481779e-01	1.131768491345560e-03	1.200036180570958e-03
3.440000000000000e-07	8.912942561884825e-01	9.372535379647998e-01	1.144215874718639e-03	1.183795391395759e-03
3.480000000000000e-07	9.084859665460568e-01	9.209324215453808e-01	1.159300071284858e-03	1.169611996017582e-03
3.520000000000000e-07	9.323390395868810e-01	9.064866561146494e-01	1.182341394323874e-03	1.159206140912561e-03
3.560000000000000e-07	9.594559039965805e-01	8.820761509959734e-01	1.207103672147146e-03	1.137978186977376e-03
3.600000000000000e-07	9.865093161083586e-01	8.663250719596224e-01	1.231278025017403e-03	1.125525990497621e-03
3.640000000000000e-07	9.901974073111446e-01	8.608551404816063e-01	1.235558636891847e-03	1.121668233277005e-03
3.680000000000000e-07	9.925099164977428e-01	8.666538982782983e-01	1.239710404513894e-03	1.128331912618805e-03
3.720000000000000e-07	9.769278877315019e-01	8.820202054927809e-01	1.228087237410956e-03	1.143607827054410e-03
3.760000000000000e-07	9.597183241890633e-01	9.061328401984572e-01	1.214464392548568e-03	1.167295075830892e-03
3.800000000000000e-07	9.381516353109368e-01	9.351881246421161e-01	1.196965093542549e-03	1.194713224666641e-03
3.840000000000000e-07	9.133128238168812e-01	9.637328705045484e-01	1.176538011269873e-03	1.222663447380440e-03
3.880000000000000e-07	8.882603834316689e-01	9.915413894515523e-01	1.156037793243198e-03	1.249682321558997e-03
3.920000000000000e-07	8.817259479017753e-01	1.008257177509982e+00	1.152689630068624e-03	1.266430975244420e-03
3.960000000000000e-07	8.790626953651427e-01	1.014450201251920e+00	1.152227442982878e-03	1.273811023407113e-03
4.000000000000000e-07	8.859532835679916e-01	1.016629460689865e+00	1.158206409600356e-03	1.277700217660566e-03
4.040000000000000e-07	8.957685951527687e-01	1.011248459685565e+00	1.169562666968855e-03	1.274406452831093e-03
4.080000000000000e-07	9.149086200154685e-01	1.004270441230268e+00	1.188965356228510e-03	1.269957192267734e-03
4.120000000000000e-07	9.081508930935663e-01	1.011003548333967e+00	1.183642035099454e-03	1.277142050412446e-03
4.160000000000000e-07	9.145360416259197e-01	1.015006711664980e+00	1.190716808365476e-03	1.282453960161130e-03
4.200000000000000e-07	9.066050727967592e-01	1.022752138473892e+00	1.184820421081222e-03	1.290627577294645e-03
4.240000000000000e-07	8.925299962597979e-01	1.030372261625552e+00	1.172336637306705e-03	1.297373304344467e-03
4.280000000000000e-07	8.942336793588387e-01	1.033696891153966e+00	1.175330913470642e-03	1.301587705172702e-03
4.320000000000000e-07	8.873178485371288e-01	1.050058598944303e+00	1.169412465884132e-03	1.316416682265901e-03
4.360000000000000e-07	8.804974246017107e-01	1.056112305004571e+00	1.164298754811764e-03	1.322560706755243e-03
4.400000000000000e-07	8.820597397590858e-01	1.053970321580983e+00	1.164746744282719e-03	1.320421013686999e-03
4.440000000000000e-07	8.859246205880519e-01	1.051803611693318e+00	1.168710686872160e-03	1.317910987268599e-03
4.480000000000000e-07	8.891550351845845e-01	1.052703878804553e+00	1.171240558767768e-03	1.318547669333492e-03
4.520000000000000e-07	8.843141040350840e-01	1.050906855429290e+00	1.165404992876924e-03	1.316103414256564e-03
4.560000000000000e-07	8.866332137009540e-01	1.049387854620438e+00	1.167423693829933e-03	1.313207006475211e-03
