#Saved Data from the class pulsed_measurement_logic on 12.03.2025 at 14h48m55s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 5.9534897587299347e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 20, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0011307264, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	8.859328186745363e-01	1.027693431210387e+00	2.420859898439524e-03	2.670525379381904e-03
2.640000000000000e-07	8.704239358238296e-01	1.009762685576410e+00	2.364265041430247e-03	2.616907665787359e-03
2.680000000000000e-07	8.671301173413939e-01	1.004955628065588e+00	2.354149935371381e-03	2.598304310903969e-03
2.720000000000000e-07	8.534174435031249e-01	9.979847309386649e-01	2.309872134162122e-03	2.572428872304470e-03
2.760000000000000e-07	8.509509192076906e-01	9.977724440423379e-01	2.304109028216904e-03	2.570669569591633e-03
2.800000000000000e-07	8.444002531043734e-01	9.857612772095609e-01	2.285576500499211e-03	2.544668912639902e-03
2.840000000000000e-07	8.477731915717232e-01	9.924446677959373e-01	2.290831661668497e-03	2.558997814020581e-03
2.880000000000000e-07	8.440623830133221e-01	9.942365042342697e-01	2.285243924146307e-03	2.560773416265286e-03
2.920000000000000e-07	8.476130348846556e-01	1.002292869958100e+00	2.292536671226929e-03	2.579387816045293e-03
2.960000000000000e-07	8.384993334227074e-01	9.956050482540105e-01	2.274636730623696e-03	2.565619862215047e-03
3.000000000000000e-07	8.400661588072996e-01	9.996428404957313e-01	2.277751266360218e-03	2.575026487243667e-03
3.040000000000000e-07	8.417750129298213e-01	9.939196239585423e-01	2.281020000569669e-03	2.559851304151768e-03
3.080000000000000e-07	8.402529624538208e-01	9.994179911500208e-01	2.281736350002157e-03	2.570249458742423e-03
3.120000000000000e-07	8.402337096103620e-01	1.001403666677528e+00	2.281113696490319e-03	2.575001454875158e-03
3.160000000000000e-07	8.426742354909720e-01	9.952258806252694e-01	2.283191875065136e-03	2.562799158647343e-03
3.200000000000000e-07	8.463962320764383e-01	9.968635591951025e-01	2.290178093634547e-03	2.565471868984772e-03
3.240000000000000e-07	8.498729605573460e-01	9.927249446540213e-01	2.294584862480404e-03	2.557819417227223e-03
3.280000000000000e-07	8.558794755248077e-01	9.868371741854826e-01	2.306648605171779e-03	2.546218448230358e-03
3.320000000000000e-07	8.642886171864297e-01	9.787740164309930e-01	2.320335144685326e-03	2.530464669959626e-03
3.360000000000000e-07	8.782284639013191e-01	9.636939347789815e-01	2.348480149877089e-03	2.507382151594198e-03
3.400000000000000e-07	8.939673403653855e-01	9.582828279732369e-01	2.381319050347562e-03	2.500237440430335e-03
3.440000000000000e-07	9.022881251551889e-01	9.398768424694535e-01	2.392351668580637e-03	2.463691432733772e-03
3.480000000000000e-07	9.188379739428636e-01	9.288363136178333e-01	2.425910944551178e-03	2.447185492957255e-03
3.520000000000000e-07	9.363609425087669e-01	9.147294266725665e-01	2.461359304959361e-03	2.418079745335986e-03
3.560000000000000e-07	9.444687191976318e-01	9.047990562938845e-01	2.474420510152128e-03	2.401598135116041e-03
3.600000000000000e-07	9.562973853827901e-01	9.015077301559110e-01	2.502136068982874e-03	2.401645612250581e-03
3.640000000000000e-07	9.631677233222909e-01	9.008040639410275e-01	2.516904960713657e-03	2.402189294539911e-03
3.680000000000000e-07	9.679439092334954e-01	8.940052239942091e-01	2.527169968367903e-03	2.386905918603204e-03
3.720000000000000e-07	9.708273306234160e-01	9.051424284207756e-01	2.535235927185829e-03	2.411696216607786e-03
3.760000000000000e-07	9.544618964346285e-01	9.167033657458379e-01	2.507756119099239e-03	2.439363523332445e-03
3.800000000000000e-07	9.517353371412663e-01	9.257244664526586e-01	2.506916487793617e-03	2.455013138762901e-03
3.840000000000000e-07	9.412586895186443e-01	9.483314773293146e-01	2.489506227806648e-03	2.506543648871045e-03
3.880000000000000e-07	9.243357994587201e-01	9.610865346810499e-01	2.459713017333314e-03	2.531662173147698e-03
3.920000000000000e-07	9.214691032236527e-01	9.880380175568633e-01	2.463890485439703e-03	2.584555806522367e-03
3.960000000000000e-07	9.074049842552079e-01	1.002657986467075e+00	2.441413681883628e-03	2.618622127876748e-03
4.000000000000000e-07	8.921937200098463e-01	1.018200091133367e+00	2.415661794005159e-03	2.649321512162591e-03
4.040000000000000e-07	8.778713399186976e-01	1.036181855480916e+00	2.386956005005554e-03	2.683641897701735e-03
4.080000000000000e-07	8.715702716845747e-01	1.046392762491991e+00	2.381489040949676e-03	2.705062594677570e-03
4.120000000000000e-07	8.680431528486093e-01	1.059437839788498e+00	2.378133608984208e-03	2.733457247726098e-03
4.160000000000000e-07	8.668417403583403e-01	1.069220270338202e+00	2.378276720858712e-03	2.758882108201923e-03
4.200000000000000e-07	8.678620207014601e-01	1.071558447267668e+00	2.380407130990045e-03	2.764115760968624e-03
4.240000000000000e-07	8.648851296146295e-01	1.068300567679793e+00	2.376149100343360e-03	2.758406094964447e-03
4.280000000000000e-07	8.761553176765802e-01	1.070565350863061e+00	2.405552980969903e-03	2.766413960170978e-03
4.320000000000000e-07	8.772710070361869e-01	1.074561184051956e+00	2.409142751136117e-03	2.774840005385291e-03
4.360000000000000e-07	8.823821252090513e-01	1.073913361155510e+00	2.418401599936591e-03	2.775573460671250e-03
4.400000000000000e-07	8.859623523311846e-01	1.066241643129509e+00	2.422491533376314e-03	2.756446394409251e-03
4.440000000000000e-07	8.890434957266486e-01	1.064810663024818e+00	2.431043211354410e-03	2.757458227498997e-03
4.480000000000000e-07	8.883885731814924e-01	1.071063975267970e+00	2.427354585547067e-03	2.767998734518955e-03
4.520000000000000e-07	8.851757069958477e-01	1.073233589631792e+00	2.418592291985647e-03	2.777133270125673e-03
4.560000000000000e-07	8.901410087721230e-01	1.068910867913269e+00	2.433150756750394e-03	2.764305881642686e-03
