#Saved Data from the class pulsed_measurement_logic on 14.03.2025 at 14h53m50s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 7.4999814186096191e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 20, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0019183232, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	9.308453700660935e-01	9.551154625376184e-01	2.935303425495436e-03	2.996609906896049e-03
2.640000000000000e-07	9.522420436316695e-01	9.680498327349301e-01	2.993075282192360e-03	3.025098600051035e-03
2.680000000000000e-07	9.342426060501323e-01	9.633079184638464e-01	2.935645526334737e-03	2.997582093511603e-03
2.720000000000000e-07	9.209522309628166e-01	9.582117599575947e-01	2.889763619282552e-03	2.973676171209258e-03
2.760000000000000e-07	9.121827335944476e-01	9.439736462275397e-01	2.871193472564709e-03	2.928557811898775e-03
2.800000000000000e-07	8.999592913785339e-01	9.503151801862888e-01	2.836618526070014e-03	2.942903965247358e-03
2.840000000000000e-07	8.977852670175055e-01	9.530512735372260e-01	2.818881011629795e-03	2.938958406172751e-03
2.880000000000000e-07	8.938423362813993e-01	9.399653393859947e-01	2.807139466303100e-03	2.903453660814167e-03
2.920000000000000e-07	9.021000606585201e-01	9.399432031683526e-01	2.823587777523262e-03	2.904396063925566e-03
2.960000000000000e-07	8.948171059479756e-01	9.432324104968610e-01	2.808586015905612e-03	2.911831179221310e-03
3.000000000000000e-07	8.889125860352333e-01	9.475355814783717e-01	2.793681384123226e-03	2.922223010575782e-03
3.040000000000000e-07	8.941285216400942e-01	9.546878661063480e-01	2.811057494874172e-03	2.937911744604141e-03
3.080000000000000e-07	8.962711002675308e-01	9.553540045238801e-01	2.812815742627729e-03	2.942865770734870e-03
3.120000000000000e-07	8.957893001539722e-01	9.454402568850419e-01	2.811377376848904e-03	2.920194412199947e-03
3.160000000000000e-07	9.013963013533974e-01	9.515149830625333e-01	2.834346157649737e-03	2.938572862792160e-03
3.200000000000000e-07	9.001299580564522e-01	9.492316386029015e-01	2.831984526748505e-03	2.936678210368840e-03
3.240000000000000e-07	8.940280671062789e-01	9.532201573687223e-01	2.821351469956768e-03	2.944561695659202e-03
3.280000000000000e-07	9.012923050952073e-01	9.644659673784016e-01	2.834090697508580e-03	2.972897454492552e-03
3.320000000000000e-07	9.140626241660037e-01	9.575700060912757e-01	2.868604115339776e-03	2.963277705147080e-03
3.360000000000000e-07	9.186672527114957e-01	9.371609841641532e-01	2.875615476557249e-03	2.920540649029044e-03
3.400000000000000e-07	9.384145432565635e-01	9.480035535167227e-01	2.933298700101442e-03	2.948460333390683e-03
3.440000000000000e-07	9.385541934807763e-01	9.446710122086932e-01	2.931901112098726e-03	2.944243409608942e-03
3.480000000000000e-07	9.322654979483465e-01	9.425956885648801e-01	2.920525690031799e-03	2.942768293748587e-03
3.520000000000000e-07	9.369555822530743e-01	9.606305733181788e-01	2.936546091871374e-03	2.991732599706127e-03
3.560000000000000e-07	9.386329697147769e-01	9.645665402566150e-01	2.951418119467380e-03	3.007299643835636e-03
3.600000000000000e-07	9.461504900947318e-01	9.611493323781372e-01	2.964640349036508e-03	2.995147009381825e-03
3.640000000000000e-07	9.526095406941834e-01	9.555763694624494e-01	2.985200195235767e-03	2.988123033603783e-03
3.680000000000000e-07	9.488484283478090e-01	9.538693486595344e-01	2.977263606676508e-03	2.997643188695087e-03
3.720000000000000e-07	9.580185003914656e-01	9.247020789922371e-01	2.998570709484213e-03	2.931622466828676e-03
3.760000000000000e-07	9.768402191706024e-01	9.422767420451250e-01	3.043818587261162e-03	2.972030587087713e-03
3.800000000000000e-07	9.828991721118222e-01	9.338785181420695e-01	3.062302910814082e-03	2.946907440075217e-03
3.840000000000000e-07	9.695734096562426e-01	9.479563939872391e-01	3.028566284951128e-03	2.986647889508542e-03
3.880000000000000e-07	9.787441467934950e-01	9.523950928108390e-01	3.052205119395405e-03	2.998190311206577e-03
3.920000000000000e-07	9.728065627072288e-01	9.466725071840908e-01	3.040722039832981e-03	2.978876680779879e-03
3.960000000000000e-07	9.909638173023154e-01	9.337563845124173e-01	3.077948051785265e-03	2.951879090685396e-03
4.000000000000000e-07	1.011062120954680e+00	9.106555568798537e-01	3.128243760555540e-03	2.902155317784429e-03
4.040000000000000e-07	1.014019882068515e+00	8.959602663068779e-01	3.135986792874110e-03	2.862359434150759e-03
4.080000000000000e-07	1.008354064649474e+00	9.006619062838286e-01	3.113520015302453e-03	2.876257451452948e-03
4.120000000000000e-07	1.007572420967710e+00	9.099011989585174e-01	3.111836618577295e-03	2.896505650465673e-03
4.160000000000000e-07	9.988985051560194e-01	8.972696390000715e-01	3.088242820525610e-03	2.858600758883641e-03
4.200000000000000e-07	1.004914885420874e+00	8.933679272268897e-01	3.104567618604879e-03	2.849868975547087e-03
4.240000000000000e-07	1.015085425521369e+00	8.790807323381837e-01	3.120720494394335e-03	2.814150382533671e-03
4.280000000000000e-07	1.003964574911309e+00	8.703238029944244e-01	3.091437826879170e-03	2.796976205325636e-03
4.320000000000000e-07	1.008419158340999e+00	8.827716774202609e-01	3.101388187190911e-03	2.816906266717750e-03
4.360000000000000e-07	9.905328621273990e-01	8.801198902721795e-01	3.049128953629990e-03	2.805521047764720e-03
4.400000000000000e-07	9.968368635791436e-01	8.737129520043625e-01	3.061647051198612e-03	2.792970357621515e-03
4.440000000000000e-07	9.928562484971065e-01	8.662485833170079e-01	3.051040672267791e-03	2.769281250506226e-03
4.480000000000000e-07	9.836015515773587e-01	8.603973572706868e-01	3.023962985336796e-03	2.748352953030743e-03
4.520000000000000e-07	9.822036110998478e-01	8.742058241686882e-01	3.026200174422559e-03	2.782912491755590e-03
4.560000000000000e-07	9.691480071577413e-01	8.753273035032936e-01	2.986502661463430e-03	2.779656494458592e-03
