#Saved Data from the class pulsed_measurement_logic on 13.03.2025 at 18h45m46s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 7.0081058044433594e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 20, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0017035264, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	8.865390991588492e-01	9.633127288594404e-01	2.742635704800342e-03	2.927552759195383e-03
2.640000000000000e-07	9.190210984349961e-01	9.704449366478624e-01	2.844148273373729e-03	2.965417731349448e-03
2.680000000000000e-07	9.337286069910316e-01	9.747370816210670e-01	2.890850960981066e-03	2.982168496587214e-03
2.720000000000000e-07	9.422856451257169e-01	9.726802228573179e-01	2.912435507699951e-03	2.976585757238223e-03
2.760000000000000e-07	9.415506865085914e-01	9.684663755396949e-01	2.910002999668283e-03	2.968195056190021e-03
2.800000000000000e-07	9.445506835598261e-01	9.635076385784432e-01	2.915492913693584e-03	2.952618146724749e-03
2.840000000000000e-07	9.378991594626472e-01	9.498794635389133e-01	2.895439652827707e-03	2.917323666334903e-03
2.880000000000000e-07	9.345649865691011e-01	9.517583224164087e-01	2.882340305022327e-03	2.921145557843945e-03
2.920000000000000e-07	9.398536665699402e-01	9.408572199226392e-01	2.893507588985593e-03	2.894817555996206e-03
2.960000000000000e-07	9.381972226791701e-01	9.488847342506103e-01	2.890813022580585e-03	2.911668056486538e-03
3.000000000000000e-07	9.364220870669245e-01	9.385893545825313e-01	2.880760192432288e-03	2.881713985536446e-03
3.040000000000000e-07	9.437629135183887e-01	9.500304220848238e-01	2.903480720501902e-03	2.909105429670919e-03
3.080000000000000e-07	9.408634674996379e-01	9.467900346688840e-01	2.893763274425770e-03	2.905449635888131e-03
