#Saved Data from the class pulsed_measurement_logic on 14.03.2025 at 09h43m59s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 5.3854386423110962e+04
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 50, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0017751296, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	9.599554075599281e-01	8.473463181194064e-01	1.166533191919954e-03	1.066636291209099e-03
2.640000000000000e-07	9.691798631398126e-01	8.677213714363596e-01	1.173975458780289e-03	1.090461229552458e-03
2.680000000000000e-07	9.764883581118010e-01	8.884879678540943e-01	1.189016582717046e-03	1.117118763606525e-03
2.720000000000000e-07	9.812306723721232e-01	9.007128831758759e-01	1.199847200767666e-03	1.134035059948134e-03
2.760000000000000e-07	9.930267722744581e-01	9.111228373393777e-01	1.216309609888496e-03	1.146311579735418e-03
2.800000000000000e-07	9.896603191550236e-01	9.312759015190972e-01	1.216340121332185e-03	1.166474015539820e-03
2.840000000000000e-07	9.962289387545324e-01	9.240924536719727e-01	1.224310901662914e-03	1.161871929037232e-03
2.880000000000000e-07	9.976258404726001e-01	9.292641328020366e-01	1.226750807443059e-03	1.167270088524099e-03
2.920000000000000e-07	9.833230270954663e-01	9.323743704193831e-01	1.214484961487415e-03	1.170424395284061e-03
2.960000000000000e-07	9.883540681876706e-01	9.441523731974354e-01	1.219517685489500e-03	1.180422643381828e-03
3.000000000000000e-07	9.864279350960717e-01	9.489052739635805e-01	1.217780967480807e-03	1.185630752789819e-03
3.040000000000000e-07	9.836250383836501e-01	9.465559100797486e-01	1.214672351317058e-03	1.183368708214493e-03
3.080000000000000e-07	9.876119112508820e-01	9.472319103180018e-01	1.218845817269034e-03	1.183285651992405e-03
3.120000000000000e-07	9.839450019267030e-01	9.509203563382095e-01	1.215608986315464e-03	1.186132047340679e-03
3.160000000000000e-07	9.751751210608537e-01	9.484497015424148e-01	1.206253184825836e-03	1.182476044488344e-03
3.200000000000000e-07	9.771945769110120e-01	9.507107014755533e-01	1.207952525647936e-03	1.183666302315830e-03
3.240000000000000e-07	9.654673181239021e-01	9.492770161423639e-01	1.197380450560303e-03	1.181866991025961e-03
3.280000000000000e-07	9.658862759197693e-01	9.557547662636663e-01	1.196098532795419e-03	1.186370971601565e-03
3.320000000000000e-07	9.589894696876208e-01	9.526094321649061e-01	1.188032001674186e-03	1.181892487013566e-03
3.360000000000000e-07	9.652035081090971e-01	9.410289050925886e-01	1.192135539851017e-03	1.171262805477625e-03
3.400000000000000e-07	9.599264259409241e-01	9.375082225330145e-01	1.186711901674352e-03	1.164626184473794e-03
3.440000000000000e-07	9.574732590186272e-01	9.380796786555112e-01	1.182954306483623e-03	1.164483244647431e-03
3.480000000000000e-07	9.521543053575379e-01	9.306172100516589e-01	1.175974300821970e-03	1.156835998674997e-03
3.520000000000000e-07	9.474484985981151e-01	9.347283387435406e-01	1.170108978766175e-03	1.158443473009384e-03
3.560000000000000e-07	9.396791937965658e-01	9.339689806701188e-01	1.161259294883623e-03	1.156224824642358e-03
3.600000000000000e-07	9.296743167963848e-01	9.354148881442164e-01	1.149925512109397e-03	1.155623313816184e-03
3.640000000000000e-07	9.260139133657754e-01	9.330227135058571e-01	1.146157246757965e-03	1.151113456963048e-03
3.680000000000000e-07	9.272269912203956e-01	9.316371955911109e-01	1.144672903058440e-03	1.148644385828346e-03
3.720000000000000e-07	9.381374437839275e-01	9.146333865703079e-01	1.152362224763631e-03	1.132284573311750e-03
3.760000000000000e-07	9.391784685873693e-01	9.035979572578582e-01	1.152491365177951e-03	1.121392485280645e-03
3.800000000000000e-07	9.395050757402700e-01	8.988151699867734e-01	1.150951333702741e-03	1.115853220657333e-03
3.840000000000000e-07	9.419241141637563e-01	8.949593771622356e-01	1.152365397336350e-03	1.110595363149692e-03
