#Saved Data from the class pulsed_measurement_logic on 13.03.2025 at 11h40m39s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 7.7019369423389435e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 50, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0014887296, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	1.012073689659808e+00	8.668718248687375e-01	2.653862625142256e-03	2.396105105281659e-03
2.640000000000000e-07	1.042504878264652e+00	8.920248622741208e-01	2.747893474319042e-03	2.462784528954983e-03
2.680000000000000e-07	1.045850929017137e+00	9.004264569851709e-01	2.763009679773994e-03	2.483926085556562e-03
2.720000000000000e-07	1.050210313172105e+00	9.075600759799944e-01	2.766825458470061e-03	2.498284486633269e-03
2.760000000000000e-07	1.042659518920038e+00	9.147737229210826e-01	2.753012901908759e-03	2.510601170390153e-03
2.800000000000000e-07	1.034823582626299e+00	9.051846135153349e-01	2.736403950653311e-03	2.489600512157517e-03
2.840000000000000e-07	1.027063468131138e+00	9.000589266502260e-01	2.716410283567704e-03	2.475928094799217e-03
2.880000000000000e-07	1.032979948259394e+00	9.098537133559260e-01	2.733271852080322e-03	2.497140300991563e-03
2.920000000000000e-07	1.021875645945307e+00	9.042870336738249e-01	2.705141080090788e-03	2.482731981563450e-03
2.960000000000000e-07	1.013139366815131e+00	9.147827223769772e-01	2.685360551874860e-03	2.495388250084646e-03
3.000000000000000e-07	1.020679406749080e+00	9.161673377428627e-01	2.698315687928457e-03	2.503174507082793e-03
3.040000000000000e-07	1.014657370749648e+00	9.129986356669948e-01	2.689229479590700e-03	2.496063956531319e-03
3.080000000000000e-07	1.010228866082259e+00	9.208477291747933e-01	2.680391443005999e-03	2.512439645581755e-03
3.120000000000000e-07	1.010043917564333e+00	9.315171334137011e-01	2.678918887134959e-03	2.537346466555813e-03
3.160000000000000e-07	1.012948543182752e+00	9.275597769616866e-01	2.687439717243861e-03	2.530163455790894e-03
3.200000000000000e-07	1.008689305348617e+00	9.302181997536777e-01	2.679670555155350e-03	2.535153785748766e-03
3.240000000000000e-07	1.016824830713284e+00	9.328173018567335e-01	2.699950088288061e-03	2.540320175300531e-03
3.280000000000000e-07	1.013472845322721e+00	9.313354283224897e-01	2.692621832275973e-03	2.537642397506180e-03
3.320000000000000e-07	1.009158008050781e+00	9.320167155267558e-01	2.689147258311153e-03	2.537612106452087e-03
3.360000000000000e-07	1.016455848969181e+00	9.426894518073140e-01	2.707226363807498e-03	2.560389388251123e-03
3.400000000000000e-07	1.013130849669999e+00	9.428271048434155e-01	2.701747899017917e-03	2.565390502408576e-03
3.440000000000000e-07	1.003245027392363e+00	9.521384054117233e-01	2.681349171497773e-03	2.584379056707786e-03
3.480000000000000e-07	9.907591475709229e-01	9.715936767057703e-01	2.655430548583540e-03	2.624666949012739e-03
3.520000000000000e-07	9.729215493729039e-01	9.924096503179936e-01	2.624979379899318e-03	2.661100311634506e-03
3.560000000000000e-07	9.495471715505794e-01	1.003634009016454e+00	2.577704358262423e-03	2.681339836384400e-03
3.600000000000000e-07	9.251944622384541e-01	1.036006057725672e+00	2.527936011665151e-03	2.744308342127076e-03
3.640000000000000e-07	9.255780426238375e-01	1.029382287748942e+00	2.533766441827791e-03	2.731420916012977e-03
3.680000000000000e-07	9.274379225325570e-01	1.027345309077065e+00	2.534664309686604e-03	2.725798448471280e-03
3.720000000000000e-07	9.412827088756226e-01	1.009307076591850e+00	2.561480492976298e-03	2.685887065495014e-03
3.760000000000000e-07	9.627934141718939e-01	9.884070868281991e-01	2.600312479302586e-03	2.650350651483184e-03
3.800000000000000e-07	9.857007606414119e-01	9.621753763262199e-01	2.641521823969814e-03	2.595575454509472e-03
3.840000000000000e-07	1.004581246423574e+00	9.430155801836999e-01	2.673531932319269e-03	2.558337332428593e-03
3.880000000000000e-07	1.012532405932930e+00	9.255721234821800e-01	2.686403498296897e-03	2.523573368325755e-03
3.920000000000000e-07	1.018547086389830e+00	9.160980532747544e-01	2.696579247318624e-03	2.498127309009824e-03
3.960000000000000e-07	1.008348602270259e+00	9.184326145029594e-01	2.672399909520764e-03	2.499204440541958e-03
4.000000000000000e-07	1.003566723605297e+00	9.245953646900031e-01	2.658867900480563e-03	2.510061087829256e-03
4.040000000000000e-07	9.940134322370148e-01	9.280594671077854e-01	2.635614329168536e-03	2.510310543087857e-03
4.080000000000000e-07	9.940728448799457e-01	9.265695353733494e-01	2.629934113222088e-03	2.502726702606975e-03
4.120000000000000e-07	9.902668513092243e-01	9.289776605389681e-01	2.623034412719174e-03	2.510129871586232e-03
4.160000000000000e-07	9.877665443951490e-01	9.082235441853879e-01	2.616536311900636e-03	2.460292086761189e-03
