#Saved Data from the class pulsed_measurement_logic on 13.03.2025 at 14h16m06s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 9.2995492534637451e+03
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 5.6600000000000004e-08, 'signal_end': 7.05e-07, 'norm_start': 4e-06, 'norm_end': 4.9000000000000005e-06, 'method': 'mean_norm'}
#extraction parameters: {'count_threshold': 40, 'min_laser_length': 2e-07, 'threshold_tolerance': 2e-08, 'method': 'threshold'}
#fast counter settings: {'bin_width': 2e-10, 'record_length': 0.0015603328, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2	Error	Error2
2.600000000000000e-07	8.723958482900955e-01	9.814763446090926e-01	2.232077628481161e-03	2.397998879983396e-03
2.640000000000000e-07	8.579511497444121e-01	9.690537030760187e-01	2.179799835395456e-03	2.376282443064097e-03
2.680000000000000e-07	8.633709125123599e-01	9.730400528118517e-01	2.193503874178388e-03	2.388747011073492e-03
2.720000000000000e-07	8.674592843134372e-01	9.723247452213626e-01	2.204487849046587e-03	2.388750371389025e-03
2.760000000000000e-07	8.759842101043551e-01	9.724157036326503e-01	2.227449159271407e-03	2.394418227066571e-03
2.800000000000000e-07	8.869199531425522e-01	9.759452593258222e-01	2.250726043456869e-03	2.409988685935785e-03
2.840000000000000e-07	9.048784650569021e-01	9.794443530400528e-01	2.292010080431631e-03	2.422414320342752e-03
2.880000000000000e-07	8.988827385341986e-01	9.781896682676622e-01	2.281571311672296e-03	2.423402604987942e-03
2.920000000000000e-07	8.965411189183494e-01	9.719525284886718e-01	2.277921103399447e-03	2.416623884615357e-03
2.960000000000000e-07	9.047044773627970e-01	9.830983818944642e-01	2.293558912323853e-03	2.434305305457130e-03
3.000000000000000e-07	9.092061405092239e-01	9.724229050121401e-01	2.300636216452753e-03	2.415856910430995e-03
3.040000000000000e-07	9.073876719095638e-01	9.707883479119763e-01	2.301630750340526e-03	2.409610073955060e-03
